name	taxonomy_id	taxonomy_lvl	ERR2270938.bracken.report_num	ERR2270938.bracken.report_frac	ERR2270939.bracken.report_num	ERR2270939.bracken.report_frac	ERR2270940.bracken.report_num	ERR2270940.bracken.report_frac	ERR2270941.bracken.report_num	ERR2270941.bracken.report_frac	ERR2270960.bracken.report_num	ERR2270960.bracken.report_frac	ERR2270961.bracken.report_num	ERR2270961.bracken.report_frac	ERR2270962.bracken.report_num	ERR2270962.bracken.report_frac	ERR2271042.bracken.report_num	ERR2271042.bracken.report_frac	ERR2271043.bracken.report_num	ERR2271043.bracken.report_frac	ERR2271236.bracken.report_num	ERR2271236.bracken.report_frac	ERR2271237.bracken.report_num	ERR2271237.bracken.report_frac
Blautia hansenii	1322	S	25	0.00168	6	0.00029	12	0.00066	9	0.00050	2	0.00011	0	0.00000	27	0.00135	4	0.00022	6	0.00059	41	0.00284	11	0.00073
Blautia liquoris	2779518	S	16	0.00107	3	0.00015	3	0.00016	1	0.00006	0	0.00000	0	0.00000	3	0.00015	4	0.00022	2	0.00020	14	0.00097	5	0.00033
[Ruminococcus] gnavus	33038	S	653	0.04382	3689	0.18074	4490	0.24592	92	0.00512	478	0.02667	3	0.00023	2341	0.11669	12	0.00065	11	0.00109	112	0.00775	32	0.00211
[Ruminococcus] torques	33039	S	117	0.00785	35	0.00171	35	0.00192	18	0.00100	4	0.00022	0	0.00000	75	0.00374	97	0.00528	66	0.00653	347	0.02401	42	0.00277
Anaerobutyricum hallii	39488	S	609	0.04086	401	0.01965	14	0.00077	209	0.01163	10	0.00056	2	0.00015	45	0.00224	30	0.00163	18	0.00178	1216	0.08412	45	0.00297
Anaerostipes hadrus	649756	S	255	0.01711	416	0.02038	20	0.00110	27	0.00150	3	0.00017	2	0.00015	19	0.00095	24	0.00131	23	0.00228	948	0.06558	23	0.00152
Anaerostipes caccae	105841	S	9	0.00060	1	0.00005	1320	0.07230	1	0.00006	4	0.00022	1	0.00008	141	0.00703	1	0.00005	0	0.00000	6	0.00042	5	0.00033
Coprococcus comes	410072	S	84	0.00564	34	0.00167	17	0.00093	159	0.00884	0	0.00000	0	0.00000	56	0.00279	59	0.00321	13	0.00129	108	0.00747	50	0.00330
Coprococcus catus	116085	S	54	0.00362	59	0.00289	13	0.00071	49	0.00273	5	0.00028	0	0.00000	26	0.00130	18	0.00098	13	0.00129	93	0.00643	40	0.00264
Coprococcus eutactus	33043	S	30	0.00201	2	0.00010	0	0.00000	4	0.00022	2	0.00011	0	0.00000	1	0.00005	3	0.00016	3	0.00030	26	0.00180	8	0.00053
Coprococcus sp. ART55/1	751585	S	22	0.00148	2	0.00010	9	0.00049	3	0.00017	0	0.00000	0	0.00000	8	0.00040	8	0.00044	10	0.00099	214	0.01480	16	0.00106
[Clostridium] scindens	29347	S	44	0.00295	66	0.00323	75	0.00411	14	0.00078	11	0.00061	0	0.00000	134	0.00668	11	0.00060	10	0.00099	24	0.00166	20	0.00132
[Clostridium] hylemonae	89153	S	19	0.00127	10	0.00049	7	0.00038	6	0.00033	0	0.00000	0	0.00000	21	0.00105	8	0.00044	4	0.00040	15	0.00104	10	0.00066
Lachnoclostridium phocaeense	1871021	S	19	0.00127	6	0.00029	26	0.00142	29	0.00161	2	0.00011	0	0.00000	10	0.00050	1	0.00005	7	0.00069	9	0.00062	9	0.00059
Lachnoclostridium sp. YL32	1834196	S	8	0.00054	8	0.00039	34	0.00186	5	0.00028	1	0.00006	1	0.00008	44	0.00219	1	0.00005	2	0.00020	10	0.00069	6	0.00040
Lachnoclostridium phytofermentans	66219	S	5	0.00034	2	0.00010	1	0.00005	1	0.00006	0	0.00000	0	0.00000	2	0.00010	0	0.00000	3	0.00030	4	0.00028	3	0.00020
Lachnospira eligens	39485	S	74	0.00497	5	0.00024	0	0.00000	9	0.00050	0	0.00000	3	0.00023	4	0.00020	18	0.00098	8	0.00079	53	0.00367	192	0.01266
Dorea longicatena	88431	S	49	0.00329	34	0.00167	55	0.00301	62	0.00345	8	0.00045	0	0.00000	69	0.00344	40	0.00218	38	0.00376	183	0.01266	126	0.00831
Faecalicatena sp. Marseille-Q4148	2823316	S	40	0.00268	69	0.00338	20	0.00110	16	0.00089	2	0.00011	1	0.00008	48	0.00239	6	0.00033	17	0.00168	42	0.00291	25	0.00165
Butyrivibrio fibrisolvens	831	S	14	0.00094	2	0.00010	3	0.00016	4	0.00022	5	0.00028	1	0.00008	1	0.00005	2	0.00011	3	0.00030	9	0.00062	7	0.00046
Butyrivibrio hungatei	185008	S	13	0.00087	0	0.00000	2	0.00011	1	0.00006	1	0.00006	0	0.00000	3	0.00015	2	0.00011	1	0.00010	5	0.00035	9	0.00059
Butyrivibrio proteoclasticus	43305	S	9	0.00060	0	0.00000	2	0.00011	3	0.00017	0	0.00000	0	0.00000	0	0.00000	1	0.00005	1	0.00010	6	0.00042	7	0.00046
Enterocloster bolteae	208479	S	21	0.00141	11	0.00054	85	0.00466	15	0.00083	23	0.00128	0	0.00000	202	0.01007	11	0.00060	7	0.00069	40	0.00277	23	0.00152
Enterocloster clostridioformis	1531	S	7	0.00047	5	0.00024	115	0.00630	5	0.00028	15	0.00084	0	0.00000	218	0.01087	5	0.00027	3	0.00030	12	0.00083	11	0.00073
Novisyntrophococcus fermenticellae	2068655	S	29	0.00195	3	0.00015	5	0.00027	5	0.00028	0	0.00000	0	0.00000	2	0.00010	2	0.00011	3	0.00030	10	0.00069	4	0.00026
Pseudobutyrivibrio xylanivorans	185007	S	26	0.00174	1	0.00005	0	0.00000	5	0.00028	4	0.00022	1	0.00008	5	0.00025	6	0.00033	2	0.00020	12	0.00083	13	0.00086
Sellimonas intestinalis	1653434	S	18	0.00121	4	0.00020	413	0.02262	16	0.00089	2	0.00011	1	0.00008	19	0.00095	1	0.00005	2	0.00020	34	0.00235	11	0.00073
Lacrimispora sphenoides	29370	S	8	0.00054	1	0.00005	46	0.00252	0	0.00000	1	0.00006	0	0.00000	6	0.00030	1	0.00005	1	0.00010	10	0.00069	4	0.00026
Lacrimispora saccharolytica	84030	S	7	0.00047	3	0.00015	34	0.00186	1	0.00006	4	0.00022	0	0.00000	5	0.00025	1	0.00005	2	0.00020	12	0.00083	7	0.00046
Anaerocolumna chitinilytica	1727145	S	5	0.00034	1	0.00005	3	0.00016	4	0.00022	0	0.00000	0	0.00000	3	0.00015	0	0.00000	1	0.00010	2	0.00014	1	0.00007
Anaerocolumna sedimenticola	2696063	S	4	0.00027	0	0.00000	4	0.00022	0	0.00000	0	0.00000	0	0.00000	4	0.00020	2	0.00011	2	0.00020	12	0.00083	1	0.00007
Anaerocolumna cellulosilytica	433286	S	3	0.00020	3	0.00015	2	0.00011	1	0.00006	0	0.00000	2	0.00015	0	0.00000	1	0.00005	2	0.00020	7	0.00048	3	0.00020
Herbinix luporum	1679721	S	5	0.00034	0	0.00000	1	0.00005	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00013
Lachnoanaerobaculum umeaense	617123	S	4	0.00027	0	0.00000	2	0.00011	1	0.00006	5	0.00028	1	0.00008	3	0.00015	3	0.00016	3	0.00030	7	0.00048	2	0.00013
Faecalibacterium prausnitzii	853	S	3852	0.25847	2165	0.10608	49	0.00268	602	0.03349	7	0.00039	17	0.00132	642	0.03200	751	0.04091	203	0.02009	1217	0.08419	2019	0.13315
Flavonifractor plautii	292800	S	106	0.00711	37	0.00181	114	0.00624	87	0.00484	4	0.00022	0	0.00000	152	0.00758	31	0.00169	27	0.00267	48	0.00332	56	0.00369
Ruminococcus bicirculans	1160721	S	79	0.00530	1	0.00005	2	0.00011	1	0.00006	0	0.00000	0	0.00000	0	0.00000	1	0.00005	766	0.07582	46	0.00318	659	0.04346
Ruminococcus bovis	2564099	S	20	0.00134	0	0.00000	1	0.00005	3	0.00017	0	0.00000	1	0.00008	0	0.00000	0	0.00000	18	0.00178	35	0.00242	8	0.00053
Ruminococcus albus	1264	S	3	0.00020	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00099	10	0.00069	5	0.00033
Ruminococcus champanellensis	1161942	S	2	0.00013	1	0.00005	0	0.00000	2	0.00011	0	0.00000	0	0.00000	1	0.00005	4	0.00022	7	0.00069	9	0.00062	5	0.00033
Vescimonas coprocola	2714355	S	22	0.00148	5	0.00024	0	0.00000	28	0.00156	0	0.00000	1	0.00008	1	0.00005	27	0.00147	43	0.00426	25	0.00173	235	0.01550
Vescimonas fastidiosa	2714353	S	11	0.00074	7	0.00034	0	0.00000	6	0.00033	1	0.00006	0	0.00000	6	0.00030	6	0.00033	19	0.00188	31	0.00214	25	0.00165
Ruthenibacterium lactatiformans	1550024	S	19	0.00127	3	0.00015	17	0.00093	361	0.02008	2	0.00011	0	0.00000	2	0.00010	27	0.00147	77	0.00762	38	0.00263	20	0.00132
Dysosmobacter welbionis	2093857	S	7	0.00047	2	0.00010	7	0.00038	136	0.00756	3	0.00017	0	0.00000	1	0.00005	10	0.00054	27	0.00267	17	0.00118	37	0.00244
Dysosmobacter sp. Marseille-Q4140	2830675	S	5	0.00034	2	0.00010	3	0.00016	18	0.00100	0	0.00000	0	0.00000	7	0.00035	2	0.00011	10	0.00099	15	0.00104	33	0.00218
Oscillibacter sp. NSJ-62	2763056	S	11	0.00074	1	0.00005	1	0.00005	7	0.00039	0	0.00000	0	0.00000	4	0.00020	4	0.00022	8	0.00079	11	0.00076	14	0.00092
Pusillibacter faecalis	2714358	S	10	0.00067	10	0.00049	4	0.00022	8	0.00044	1	0.00006	0	0.00000	4	0.00020	3	0.00016	9	0.00089	8	0.00055	19	0.00125
Mageeibacillus indolicus	884684	S	4	0.00027	1	0.00005	0	0.00000	2	0.00011	4	0.00022	0	0.00000	0	0.00000	0	0.00000	0	0.00000	6	0.00042	2	0.00013
Acutalibacter muris	1796620	S	4	0.00027	3	0.00015	0	0.00000	3	0.00017	0	0.00000	0	0.00000	1	0.00005	0	0.00000	1	0.00010	15	0.00104	3	0.00020
Anaerotruncus colihominis	169435	S	3	0.00020	2	0.00010	1	0.00005	16	0.00089	1	0.00006	0	0.00000	4	0.00020	6	0.00033	2	0.00020	5	0.00035	10	0.00066
Monoglobus pectinilyticus	1981510	S	2	0.00013	2	0.00010	3	0.00016	2	0.00011	0	0.00000	0	0.00000	1	0.00005	1	0.00005	21	0.00208	5	0.00035	9	0.00059
Caproicibacter fermentans	2576756	S	2	0.00013	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	4	0.00028	1	0.00007
Solibaculum mannosilyticum	2780922	S	2	0.00013	1	0.00005	1	0.00005	5	0.00028	0	0.00000	1	0.00008	1	0.00005	5	0.00027	2	0.00020	6	0.00042	3	0.00020
Acetivibrio clariflavus	288965	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	2	0.00010	0	0.00000	1	0.00010	0	0.00000	1	0.00007
Acetivibrio saccincola	1677857	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	4	0.00022	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Ruminiclostridium cellulolyticum	1521	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Ethanoligenens harbinense	253239	S	1	0.00007	0	0.00000	0	0.00000	3	0.00017	0	0.00000	0	0.00000	0	0.00000	1	0.00005	1	0.00010	2	0.00014	5	0.00033
Thermoclostridium stercorarium	1510	S	1	0.00007	0	0.00000	1	0.00005	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00014	2	0.00013
Caproicibacterium lactatifermentans	2666138	S	1	0.00007	0	0.00000	0	0.00000	5	0.00028	0	0.00000	0	0.00000	1	0.00005	0	0.00000	2	0.00020	6	0.00042	1	0.00007
Clostridium perfringens	1502	S	127	0.00852	2	0.00010	12	0.00066	4	0.00022	66	0.00368	845	0.06539	13	0.00065	7	0.00038	4	0.00040	19	0.00131	1	0.00007
Clostridium sp. M62/1	411486	S	29	0.00195	5	0.00024	27	0.00148	14	0.00078	6	0.00033	0	0.00000	9	0.00045	9	0.00049	13	0.00129	50	0.00346	27	0.00178
Clostridium sp. SY8519	1042156	S	12	0.00081	2	0.00010	1	0.00005	7	0.00039	1	0.00006	0	0.00000	0	0.00000	1	0.00005	0	0.00000	8	0.00055	12	0.00079
Clostridium sp. DL-VIII	641107	S	6	0.00040	2	0.00010	0	0.00000	1	0.00006	2	0.00011	16	0.00124	2	0.00010	1	0.00005	2	0.00020	2	0.00014	0	0.00000
Clostridium sp. C1	1155388	S	5	0.00034	0	0.00000	3	0.00016	13	0.00072	0	0.00000	0	0.00000	1	0.00005	2	0.00011	4	0.00040	4	0.00028	3	0.00020
Clostridium sp. BNL1100	755731	S	4	0.00027	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00008	0	0.00000	0	0.00000	2	0.00020	1	0.00007	0	0.00000
Clostridium sp. C5S11	704125	S	3	0.00020	0	0.00000	2	0.00011	1	0.00006	7	0.00039	19	0.00147	1	0.00005	1	0.00005	2	0.00020	3	0.00021	0	0.00000
Clostridium sp. BJN0001	2930219	S	3	0.00020	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00108	1	0.00005	0	0.00000	1	0.00010	1	0.00007	0	0.00000
Clostridium sp. JN-1	2483110	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	1	0.00006	5	0.00039	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium sp. JN-9	2507159	S	1	0.00007	0	0.00000	1	0.00005	1	0.00006	8	0.00045	8	0.00062	0	0.00000	0	0.00000	1	0.00010	2	0.00014	3	0.00020
Clostridium sp. 'deep sea'	2779445	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00015	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Clostridium botulinum	1491	S	60	0.00403	60	0.00294	63	0.00345	0	0.00000	316	0.01763	338	0.02616	63	0.00314	4	0.00022	7	0.00069	74	0.00512	4	0.00026
Clostridium butyricum	1492	S	12	0.00081	1	0.00005	4	0.00022	0	0.00000	1	0.00006	62	0.00480	1	0.00005	0	0.00000	2	0.00020	12	0.00083	1	0.00007
Clostridium septicum	1504	S	12	0.00081	0	0.00000	5	0.00027	0	0.00000	7	0.00039	70	0.00542	2	0.00010	3	0.00016	1	0.00010	4	0.00028	1	0.00007
Clostridium baratii	1561	S	10	0.00067	0	0.00000	5	0.00027	2	0.00011	5	0.00028	44	0.00341	4	0.00020	5	0.00027	3	0.00030	4	0.00028	0	0.00000
Clostridium bornimense	1216932	S	10	0.00067	0	0.00000	1	0.00005	1	0.00006	2	0.00011	30	0.00232	1	0.00005	2	0.00011	5	0.00049	0	0.00000	1	0.00007
Clostridium argentinense	29341	S	8	0.00054	0	0.00000	1	0.00005	0	0.00000	0	0.00000	13	0.00101	1	0.00005	0	0.00000	5	0.00049	6	0.00042	0	0.00000
Clostridium manihotivorum	2320868	S	5	0.00034	0	0.00000	1	0.00005	0	0.00000	2	0.00011	17	0.00132	2	0.00010	1	0.00005	0	0.00000	1	0.00007	0	0.00000
Clostridium taeniosporum	394958	S	4	0.00027	0	0.00000	0	0.00000	1	0.00006	3	0.00017	31	0.00240	2	0.00010	0	0.00000	2	0.00020	1	0.00007	0	0.00000
Clostridium saccharobutylicum	169679	S	4	0.00027	0	0.00000	1	0.00005	0	0.00000	1	0.00006	24	0.00186	2	0.00010	0	0.00000	0	0.00000	4	0.00028	0	0.00000
Clostridium beijerinckii	1520	S	3	0.00020	0	0.00000	2	0.00011	0	0.00000	2	0.00011	18	0.00139	0	0.00000	2	0.00011	1	0.00010	2	0.00014	0	0.00000
Clostridium cadaveris	1529	S	3	0.00020	0	0.00000	3	0.00016	3	0.00017	2	0.00011	13	0.00101	1	0.00005	1	0.00005	0	0.00000	4	0.00028	1	0.00007
Clostridium intestinale	36845	S	3	0.00020	1	0.00005	0	0.00000	0	0.00000	2	0.00011	30	0.00232	0	0.00000	0	0.00000	2	0.00020	1	0.00007	2	0.00013
Clostridium novyi	1542	S	3	0.00020	0	0.00000	0	0.00000	0	0.00000	1	0.00006	9	0.00070	0	0.00000	0	0.00000	4	0.00040	3	0.00021	0	0.00000
Clostridium isatidis	182773	S	3	0.00020	0	0.00000	3	0.00016	3	0.00017	4	0.00022	43	0.00333	1	0.00005	0	0.00000	3	0.00030	5	0.00035	1	0.00007
Clostridium thermarum	1716543	S	3	0.00020	0	0.00000	1	0.00005	0	0.00000	0	0.00000	2	0.00015	0	0.00000	1	0.00005	2	0.00020	2	0.00014	1	0.00007
Clostridium gasigenes	94869	S	3	0.00020	0	0.00000	4	0.00022	0	0.00000	6	0.00033	44	0.00341	1	0.00005	3	0.00016	2	0.00020	4	0.00028	0	0.00000
Clostridium kluyveri	1534	S	2	0.00013	0	0.00000	1	0.00005	0	0.00000	1	0.00006	6	0.00046	1	0.00005	1	0.00005	3	0.00030	1	0.00007	1	0.00007
Clostridium chauvoei	46867	S	2	0.00013	0	0.00000	3	0.00016	2	0.00011	7	0.00039	44	0.00341	4	0.00020	2	0.00011	2	0.00020	6	0.00042	0	0.00000
Clostridium sporogenes	1509	S	2	0.00013	0	0.00000	2	0.00011	0	0.00000	0	0.00000	4	0.00031	2	0.00010	0	0.00000	2	0.00020	2	0.00014	2	0.00013
Clostridium carboxidivorans	217159	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	1	0.00006	9	0.00070	1	0.00005	0	0.00000	0	0.00000	2	0.00014	0	0.00000
Clostridium estertheticum	238834	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	4	0.00031	0	0.00000	0	0.00000	0	0.00000	2	0.00014	0	0.00000
Clostridium saccharoperbutylacetonicum	36745	S	1	0.00007	0	0.00000	5	0.00027	0	0.00000	2	0.00011	19	0.00147	1	0.00005	0	0.00000	3	0.00030	4	0.00028	0	0.00000
Clostridium acetobutylicum	1488	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	6	0.00046	1	0.00005	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Clostridium aceticum	84022	S	1	0.00007	1	0.00005	0	0.00000	0	0.00000	2	0.00011	4	0.00031	1	0.00005	0	0.00000	1	0.00010	1	0.00007	0	0.00000
Clostridium cellulovorans	1493	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	4	0.00031	0	0.00000	0	0.00000	3	0.00030	1	0.00007	1	0.00007
Clostridium tyrobutyricum	1519	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	2	0.00011	2	0.00015	1	0.00005	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Clostridium tetani	1513	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	2	0.00011	14	0.00108	5	0.00025	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Clostridium pasteurianum	1501	S	1	0.00007	0	0.00000	1	0.00005	1	0.00006	2	0.00011	8	0.00062	2	0.00010	0	0.00000	4	0.00040	3	0.00021	0	0.00000
Clostridium cochlearium	1494	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	1	0.00006	4	0.00031	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Paraclostridium bifermentans	1490	S	21	0.00141	0	0.00000	1	0.00005	0	0.00000	31	0.00173	18	0.00139	3	0.00015	0	0.00000	0	0.00000	5	0.00035	0	0.00000
Hungatella hathewayi	154046	S	7	0.00047	1	0.00005	44	0.00241	6	0.00033	6	0.00033	0	0.00000	4	0.00020	0	0.00000	2	0.00020	6	0.00042	3	0.00020
Crassaminicella profunda	1286698	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	2	0.00011	3	0.00023	0	0.00000	0	0.00000	1	0.00010	0	0.00000	1	0.00007
Crassaminicella thermophila	2599308	S	2	0.00013	0	0.00000	1	0.00005	0	0.00000	1	0.00006	3	0.00023	2	0.00010	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Crassaminicella sp. 143-21	2855394	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	2	0.00011	1	0.00008	1	0.00005	0	0.00000	2	0.00020	2	0.00014	0	0.00000
Alkaliphilus sp. B6464	2731219	S	3	0.00020	0	0.00000	0	0.00000	0	0.00000	1	0.00006	1	0.00008	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Hathewaya histolytica	1498	S	2	0.00013	1	0.00005	0	0.00000	0	0.00000	1	0.00006	4	0.00031	0	0.00000	0	0.00000	0	0.00000	1	0.00007	1	0.00007
Sarcina sp. JB2	2726954	S	1	0.00007	0	0.00000	1	0.00005	2	0.00011	5	0.00028	6	0.00046	0	0.00000	0	0.00000	0	0.00000	5	0.00035	0	0.00000
Caloramator sp. E03	2576307	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	2	0.00011	0	0.00000	0	0.00000	0	0.00000	2	0.00020	0	0.00000	0	0.00000
Geosporobacter ferrireducens	1424294	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	2	0.00011	0	0.00000	1	0.00005	0	0.00000	2	0.00020	1	0.00007	1	0.00007
Serpentinicella alkaliphila	1734049	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	1	0.00006	1	0.00008	0	0.00000	0	0.00000	1	0.00010	0	0.00000	1	0.00007
Romboutsia ilealis	1115758	S	142	0.00953	0	0.00000	0	0.00000	7	0.00039	498	0.02779	589	0.04558	26	0.00130	11	0.00060	35	0.00346	77	0.00533	3	0.00020
Romboutsia sp. CE17	2724150	S	29	0.00195	0	0.00000	2	0.00011	4	0.00022	34	0.00190	72	0.00557	6	0.00030	1	0.00005	4	0.00040	13	0.00090	0	0.00000
Romboutsia hominis	1507512	S	11	0.00074	0	0.00000	0	0.00000	1	0.00006	13	0.00073	37	0.00286	5	0.00025	1	0.00005	2	0.00020	7	0.00048	1	0.00007
Terrisporobacter sp. MCA3	2813371	S	84	0.00564	0	0.00000	2	0.00011	5	0.00028	16	0.00089	124	0.00960	28	0.00140	1	0.00005	5	0.00049	32	0.00221	0	0.00000
Clostridioides difficile	1496	S	39	0.00262	35	0.00171	34	0.00186	24	0.00133	38	0.00212	34	0.00263	85	0.00424	4	0.00022	16	0.00158	95	0.00657	21	0.00138
Clostridioides sp. ES-S-0010-02	2770776	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	1	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Paeniclostridium sordellii	1505	S	39	0.00262	0	0.00000	0	0.00000	1	0.00006	21	0.00117	48	0.00371	5	0.00025	1	0.00005	2	0.00020	10	0.00069	1	0.00007
Peptoclostridium acidaminophilum	1731	S	4	0.00027	0	0.00000	0	0.00000	0	0.00000	2	0.00011	0	0.00000	1	0.00005	0	0.00000	2	0.00020	2	0.00014	0	0.00000
Peptacetobacter hiranonis	89152	S	3	0.00020	1	0.00005	8	0.00044	1	0.00006	39	0.00218	20	0.00155	7	0.00035	0	0.00000	0	0.00000	6	0.00042	3	0.00020
Tepidibacter sp. 8C15b	2925782	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	6	0.00033	5	0.00039	0	0.00000	0	0.00000	4	0.00040	3	0.00021	1	0.00007
Eubacterium sp. MSJ-33	2841528	S	21	0.00141	0	0.00000	1	0.00005	4	0.00022	0	0.00000	0	0.00000	4	0.00020	4	0.00022	4	0.00040	8	0.00055	20	0.00132
Eubacterium sp. NSJ-61	2764325	S	18	0.00121	6	0.00029	4	0.00022	6	0.00033	0	0.00000	1	0.00008	18	0.00090	1	0.00005	5	0.00049	10	0.00069	8	0.00053
Eubacterium sp. c-25	2841037	S	18	0.00121	5	0.00024	5	0.00027	287	0.01596	1	0.00006	1	0.00008	9	0.00045	2	0.00011	2	0.00020	5	0.00035	8	0.00053
Eubacterium callanderi	53442	S	4	0.00027	0	0.00000	4	0.00022	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	4	0.00040	1	0.00007	1	0.00007
Eubacterium maltosivorans	2041044	S	4	0.00027	0	0.00000	0	0.00000	2	0.00011	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00021	1	0.00007
Eubacterium limosum	1736	S	1	0.00007	1	0.00005	4	0.00022	5	0.00028	1	0.00006	0	0.00000	1	0.00005	0	0.00000	4	0.00040	2	0.00014	6	0.00040
Acetobacterium woodii	33952	S	1	0.00007	0	0.00000	3	0.00016	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Massilistercora timonensis	2086584	S	13	0.00087	7	0.00034	4	0.00022	14	0.00078	0	0.00000	0	0.00000	7	0.00035	2	0.00011	8	0.00079	10	0.00069	12	0.00079
Aminipila terrae	2697030	S	2	0.00013	0	0.00000	1	0.00005	0	0.00000	2	0.00011	0	0.00000	0	0.00000	0	0.00000	2	0.00020	1	0.00007	3	0.00020
