ERR2270938_all	ERR2270939_all	ERR2270940_all	ERR2270941_all	ERR2270960_all	ERR2270961_all	ERR2270962_all	ERR2271042_all	ERR2271043_all	ERR2271236_all	ERR2271237_all	lvl_type	name
1	0	1	1	0	0	0	0	0	2	2	S	Thermoclostridium stercorarium
0	0	0	0	0	0	0	0	0	1	0	S1	Thermoclostridium stercorarium subsp. leptospartum
0	0	0	0	0	0	0	0	0	1	0	S2	Thermoclostridium stercorarium subsp. leptospartum DSM 9219
0	0	0	1	0	0	0	0	3	1	0	G	Fastidiosipila
0	0	0	1	0	0	0	0	3	1	0	S	Fastidiosipila sanguinis
419	82	226	68	552	1992	156	50	121	282	75	F	Clostridiaceae
374	79	176	60	490	1943	142	49	106	259	68	G	Clostridium
127	2	12	4	66	845	13	7	4	19	1	S	Clostridium perfringens
1	0	2	0	2	5	0	0	0	2	0	S1	Clostridium perfringens F262
2	0	0	0	0	4	0	0	0	0	0	S1	Clostridium perfringens ATCC 13124
2	0	0	0	1	2	0	0	0	0	0	S1	Clostridium perfringens str. 13
60	60	63	0	316	338	63	4	7	74	4	S	Clostridium botulinum
0	0	0	0	2	4	0	2	1	1	0	S1	Clostridium botulinum BKT015925
1	0	0	0	0	6	2	0	1	0	0	S1	Clostridium botulinum 202F
1	0	0	0	1	6	0	0	1	1	0	S1	Clostridium botulinum B
1	0	0	0	1	5	0	0	1	1	0	S2	Clostridium botulinum B str. Eklund 17B (NRP)
0	0	0	0	0	1	0	0	0	0	0	S2	Clostridium botulinum B1
0	0	0	0	0	1	0	0	0	0	0	S3	Clostridium botulinum B1 str. Okra
0	0	0	0	0	2	0	0	0	0	0	S1	Clostridium botulinum A
0	0	0	0	0	2	0	0	0	0	0	S2	Clostridium botulinum A3 str. Loch Maree
67	10	35	37	27	69	14	14	27	74	45	G1	unclassified Clostridium
29	5	27	14	6	0	9	9	13	50	27	S	Clostridium sp. M62/1
12	2	1	7	1	0	0	1	0	8	12	S	Clostridium sp. SY8519
3	0	2	1	7	19	1	1	2	3	0	S	Clostridium sp. C5S11
5	0	3	13	0	0	1	2	4	4	3	S	Clostridium sp. C1
6	2	0	1	2	16	2	1	2	2	0	S	Clostridium sp. DL-VIII
1	0	1	1	8	8	0	0	1	2	3	S	Clostridium sp. JN-9
3	0	0	0	0	14	1	0	1	1	0	S	Clostridium sp. BJN0001
2	0	0	0	1	5	0	0	0	0	0	S	Clostridium sp. JN-1
4	0	0	0	0	1	0	0	2	1	0	S	Clostridium sp. BNL1100
0	0	1	0	0	1	0	0	0	2	0	S	Clostridium sp. 001
0	1	0	0	1	1	0	0	0	1	0	S	Clostridium sp. AWRP
1	0	0	0	0	2	0	0	1	0	0	S	Clostridium sp. 'deep sea'
0	0	0	0	0	2	0	0	1	0	0	S	Clostridium sp. MF28
12	0	5	0	7	70	2	3	1	4	1	S	Clostridium septicum
12	1	4	0	1	62	1	0	2	12	1	S	Clostridium butyricum
10	0	5	2	5	44	4	5	3	4	0	S	Clostridium baratii
1	0	1	0	2	13	1	3	1	0	0	S1	Clostridium baratii str. Sullivan
2	0	3	2	7	44	4	2	2	6	0	S	Clostridium chauvoei
3	0	4	0	6	44	1	3	2	4	0	S	Clostridium gasigenes
3	0	3	3	4	43	1	0	3	5	1	S	Clostridium isatidis
10	0	1	1	2	30	1	2	5	0	1	S	Clostridium bornimense
4	0	0	1	3	31	2	0	2	1	0	S	Clostridium taeniosporum
3	1	0	0	2	30	0	0	2	1	2	S	Clostridium intestinale
4	0	1	0	1	24	2	0	0	4	0	S	Clostridium saccharobutylicum
1	0	5	0	2	19	1	0	3	4	0	S	Clostridium saccharoperbutylacetonicum
1	0	1	0	0	4	0	0	0	0	0	S1	Clostridium saccharoperbutylacetonicum N1-4
1	0	1	0	0	4	0	0	0	0	0	S2	Clostridium saccharoperbutylacetonicum N1-4(HMT)
8	0	1	0	0	13	1	0	5	6	0	S	Clostridium argentinense
3	0	3	3	2	13	1	1	0	4	1	S	Clostridium cadaveris
3	0	2	0	2	18	0	2	1	2	0	S	Clostridium beijerinckii
0	0	0	0	1	0	0	0	0	1	0	S1	Clostridium beijerinckii NRRL B-598
5	0	1	0	2	17	2	1	0	1	0	S	Clostridium manihotivorum
1	0	1	0	2	14	5	0	0	0	0	S	Clostridium tetani
0	0	0	0	0	2	2	0	0	0	0	S1	Clostridium tetani 12124569
1	0	1	1	2	8	2	0	4	3	0	S	Clostridium pasteurianum
0	0	0	1	2	3	0	0	3	0	0	S1	Clostridium pasteurianum BC1
3	0	0	0	1	9	0	0	4	3	0	S	Clostridium novyi
3	0	0	0	1	9	0	0	3	2	0	S1	Clostridium novyi NT
2	0	1	0	1	6	1	1	3	1	1	S	Clostridium kluyveri
2	0	2	0	0	4	2	0	2	2	2	S	Clostridium sporogenes
1	0	1	0	1	9	1	0	0	2	0	S	Clostridium carboxidivorans
1	0	1	0	1	9	1	0	0	2	0	S1	Clostridium carboxidivorans P7
3	0	1	0	0	2	0	1	2	2	1	S	Clostridium thermarum
0	0	0	0	3	4	1	0	0	2	1	S	Clostridium fermenticellae
1	1	0	0	2	4	1	0	1	1	0	S	Clostridium aceticum
1	0	0	0	0	4	0	0	3	1	1	S	Clostridium cellulovorans
1	0	0	0	0	4	0	0	3	1	1	S1	Clostridium cellulovorans 743B
1	0	0	0	0	6	1	0	1	0	0	S	Clostridium acetobutylicum
0	1	0	2	0	1	1	0	1	1	1	S	Clostridium drakei
1	0	1	0	1	4	0	0	0	1	0	S	Clostridium cochlearium
1	0	1	0	0	4	0	0	0	2	0	S	Clostridium estertheticum
1	0	1	0	0	4	0	0	0	2	0	S1	Clostridium estertheticum subsp. estertheticum
1	0	0	0	2	2	1	0	1	0	0	S	Clostridium tyrobutyricum
0	0	1	1	2	0	0	0	0	0	0	S	Clostridium formicaceticum
0	0	0	0	0	2	0	1	0	0	0	S	Clostridium scatologenes
0	0	0	0	0	1	0	0	0	1	0	S	Clostridium diolis
7	1	44	6	6	0	4	0	2	6	3	G	Hungatella
7	1	44	6	6	0	4	0	2	6	3	S	Hungatella hathewayi
7	1	44	6	6	0	4	0	2	6	3	S1	Hungatella hathewayi WAL-18680
21	0	1	0	31	18	3	0	0	5	0	G	Paraclostridium
21	0	1	0	31	18	3	0	0	5	0	S	Paraclostridium bifermentans
5	0	1	0	5	7	3	0	4	2	1	G	Crassaminicella
1	0	0	0	2	1	1	0	2	2	0	G1	unclassified Crassaminicella
1	0	0	0	2	1	1	0	2	2	0	S	Crassaminicella sp. 143-21
2	0	1	0	1	3	2	0	0	0	0	S	Crassaminicella thermophila
2	0	0	0	2	3	0	0	1	0	1	S	Crassaminicella profunda
1	0	1	2	5	6	0	0	0	5	0	G	Sarcina
1	0	1	2	5	6	0	0	0	5	0	G1	unclassified Sarcina
1	0	1	2	5	6	0	0	0	5	0	S	Sarcina sp. JB2
2	1	0	0	1	4	0	0	0	1	1	G	Hathewaya
2	1	0	0	1	4	0	0	0	1	1	S	Hathewaya histolytica
1	0	0	0	2	0	1	0	2	1	1	G	Geosporobacter
1	0	0	0	2	0	1	0	2	1	1	S	Geosporobacter ferrireducens
3	0	0	0	2	1	1	0	1	0	0	G	Alkaliphilus
3	0	0	0	1	1	0	0	1	0	0	G1	unclassified Alkaliphilus
3	0	0	0	1	1	0	0	1	0	0	S	Alkaliphilus sp. B6464
0	0	0	0	0	0	1	0	0	0	0	S	Alkaliphilus oremlandii
0	0	0	0	0	0	1	0	0	0	0	S1	Alkaliphilus oremlandii OhILAs
0	0	0	0	1	0	0	0	0	0	0	S	Alkaliphilus metalliredigens
0	0	0	0	1	0	0	0	0	0	0	S1	Alkaliphilus metalliredigens QYMF
1	0	0	0	1	1	0	0	1	0	1	G	Serpentinicella
1	0	0	0	1	1	0	0	1	0	1	S	Serpentinicella alkaliphila
1	0	0	0	2	0	0	0	2	0	0	G	Caloramator
1	0	0	0	2	0	0	0	2	0	0	G1	unclassified Caloramator
1	0	0	0	2	0	0	0	2	0	0	S	Caloramator sp. E03
0	0	0	0	3	1	0	0	0	0	0	G	Candidatus Arthromitus
0	0	0	0	3	1	0	0	0	0	0	G1	unclassified Candidatus Arthromitus
0	0	0	0	1	0	0	0	0	0	0	S	Candidatus Arthromitus sp. SFB-mouse-NL
0	1	0	0	0	0	0	1	0	0	0	G	Butyricicoccus
0	1	0	0	0	0	0	1	0	0	0	G1	unclassified Butyricicoccus
0	1	0	0	0	0	0	1	0	0	0	S	Butyricicoccus sp. GAM44
384	37	50	45	733	1002	177	19	80	251	35	F	Peptostreptococcaceae
186	0	2	12	551	705	38	13	41	97	4	G	Romboutsia
142	0	0	7	498	589	26	11	35	77	3	S	Romboutsia ilealis
29	0	2	4	34	72	6	1	4	13	0	G1	unclassified Romboutsia
29	0	2	4	34	72	6	1	4	13	0	S	Romboutsia sp. CE17
11	0	0	1	13	37	5	1	2	7	1	S	Romboutsia hominis
58	35	38	26	66	77	94	4	18	97	24	G	Clostridioides
39	35	34	24	38	34	85	4	16	95	21	S	Clostridioides difficile
3	3	1	2	1	0	7	0	0	8	2	S1	Clostridioides difficile QCD-23m63
0	0	0	0	0	0	1	0	0	0	0	S1	Clostridioides difficile BI9
11	0	3	1	12	25	5	0	2	1	2	G1	unclassified Clostridioides
0	0	1	1	5	9	1	0	1	0	0	S	Clostridioides sp. ES-S-0054-01
1	0	1	0	0	1	0	0	0	0	1	S	Clostridioides sp. ES-S-0010-02
0	0	0	0	0	0	1	0	0	0	0	S	Clostridioides sp. ES-S-0107-01
84	0	2	5	16	124	28	1	5	32	0	G	Terrisporobacter
84	0	2	5	16	124	28	1	5	32	0	G1	unclassified Terrisporobacter
84	0	2	5	16	124	28	1	5	32	0	S	Terrisporobacter sp. MCA3
39	0	0	1	21	48	5	1	2	10	1	G	Paeniclostridium
39	0	0	1	21	48	5	1	2	10	1	S	Paeniclostridium sordellii
3	1	8	1	39	20	7	0	0	6	3	G	Peptacetobacter
3	1	8	1	39	20	7	0	0	6	3	S	Peptacetobacter hiranonis
0	0	0	0	15	0	1	0	5	1	1	G	Filifactor
0	0	0	0	15	0	1	0	5	1	1	S	Filifactor alocis
0	0	0	0	15	0	1	0	5	1	1	S1	Filifactor alocis ATCC 35896
1	0	0	0	6	5	0	0	4	3	1	G	Tepidibacter
1	0	0	0	6	5	0	0	4	3	1	G1	unclassified Tepidibacter
1	0	0	0	6	5	0	0	4	3	1	S	Tepidibacter sp. 8C15b
4	0	0	0	2	0	1	0	2	2	0	G	Peptoclostridium
4	0	0	0	2	0	1	0	2	2	0	S	Peptoclostridium acidaminophilum
4	0	0	0	2	0	1	0	2	2	0	S1	Peptoclostridium acidaminophilum DSM 3953
0	1	0	0	4	5	0	0	0	0	0	G	Acetoanaerobium
0	1	0	0	4	5	0	0	0	0	0	S	Acetoanaerobium sticklandii
68	12	21	307	2	2	33	7	20	33	46	F	Eubacteriaceae
67	12	18	306	2	2	33	7	19	31	44	G	Eubacterium
57	11	10	297	1	2	31	7	11	23	36	G1	unclassified Eubacterium
18	5	5	287	1	1	9	2	2	5	8	S	Eubacterium sp. c-25
18	6	4	6	0	1	18	1	5	10	8	S	Eubacterium sp. NSJ-61
21	0	1	4	0	0	4	4	4	8	20	S	Eubacterium sp. MSJ-33
1	1	4	5	1	0	1	0	4	2	6	S	Eubacterium limosum
4	0	4	0	0	0	1	0	4	1	1	S	Eubacterium callanderi
4	0	0	2	0	0	0	0	0	3	1	S	Eubacterium maltosivorans
1	0	3	1	0	0	0	0	0	1	1	G	Acetobacterium
1	0	3	1	0	0	0	0	0	0	0	S	Acetobacterium woodii
1	0	3	1	0	0	0	0	0	0	0	S1	Acetobacterium woodii DSM 1030
0	0	0	0	0	0	0	0	0	1	1	G1	unclassified Acetobacterium
0	0	0	0	0	0	0	0	0	1	1	S	Acetobacterium sp. KB-1
0	0	0	0	0	0	0	0	1	0	1	G	Alkalibacter
0	0	0	0	0	0	0	0	1	0	1	G1	unclassified Alkalibacter
0	0	0	0	0	0	0	0	1	0	1	S	Alkalibacter sp. ES005
38	13	12	50	17	6	26	9	36	49	53	O1	Eubacteriales incertae sedis
9	4	3	7	0	0	12	2	6	17	23	G	Intestinimonas
9	4	3	7	0	0	12	2	6	17	23	S	Intestinimonas butyriciproducens
10	2	3	9	16	5	5	2	16	10	4	F	Eubacteriales Family XIII. Incertae Sedis
4	0	3	2	5	0	3	1	6	5	3	G	Aminipila
1	0	1	1	1	0	1	0	3	3	0	S	Aminipila luticellarii
2	0	1	0	2	0	0	0	2	1	3	S	Aminipila terrae
0	0	1	0	2	0	2	1	1	1	0	S	Aminipila butyrica
3	0	0	5	11	5	1	0	2	2	0	G	Mogibacterium
3	0	0	2	5	5	1	0	1	2	0	S	Mogibacterium diversum
0	0	0	1	6	0	0	0	1	0	0	S	Mogibacterium pumilum
3	2	0	1	0	0	1	1	6	2	1	G	Emergencia
3	2	0	1	0	0	1	1	6	2	1	S	Emergencia timonensis
13	7	4	14	0	0	7	2	8	10	12	G	Massilistercora
13	7	4	14	0	0	7	2	8	10	12	S	Massilistercora timonensis
6	0	2	20	1	0	1	2	3	8	12	G	Flintibacter
6	0	2	20	1	0	1	2	3	8	12	G1	unclassified Flintibacter
6	0	2	20	1	0	1	2	3	8	12	S	Flintibacter sp. KGMB00164
0	0	0	0	0	0	1	0	3	2	2	F	Clostridiales Family XVII. Incertae Sedis
0	0	0	0	0	0	1	0	3	2	2	G	Thermaerobacter
0	0	0	0	0	0	0	0	2	2	2	G1	unclassified Thermaerobacter
0	0	0	0	0	0	0	0	0	2	2	S	Thermaerobacter sp. FW80
0	0	0	0	0	0	0	0	2	0	0	S	Thermaerobacter sp. PB12/4term
0	0	0	0	0	0	1	0	1	0	0	S	Thermaerobacter marianensis
0	0	0	0	0	0	1	0	1	0	0	S1	Thermaerobacter marianensis DSM 12885
0	0	0	0	0	1	0	0	0	1	0	F	Clostridiales Family XVI. Incertae Sedis
0	0	0	0	0	1	0	0	0	1	0	G	Carboxydocella
0	0	0	0	0	1	0	0	0	1	0	S	Carboxydocella thermautotrophica
7	1	1	9	1	0	3	5	9	8	17	F	Christensenellaceae
7	1	1	9	1	0	3	5	9	8	17	G	Christensenella
2	1	1	6	0	0	0	2	4	4	11	S	Christensenella minuta
5	0	0	3	1	0	3	3	5	4	6	G1	unclassified Christensenella
5	0	0	3	1	0	3	3	5	4	6	S	Christensenella sp. Marseille-P3954
4	1	0	1	0	1	3	1	9	7	3	F	Desulfitobacteriaceae
1	0	0	0	0	1	0	0	5	2	2	G	Desulfosporosinus
0	0	0	0	0	0	0	0	2	2	2	S	Desulfosporosinus youngiae
0	0	0	0	0	0	0	0	2	2	2	S1	Desulfosporosinus youngiae DSM 17734
0	0	0	0	0	1	0	0	2	0	0	S	Desulfosporosinus orientis
0	0	0	0	0	1	0	0	2	0	0	S1	Desulfosporosinus orientis DSM 765
0	0	0	0	0	0	0	0	1	0	0	S	Desulfosporosinus acidiphilus
0	0	0	0	0	0	0	0	1	0	0	S1	Desulfosporosinus acidiphilus SJ4
1	0	0	0	0	0	0	0	0	0	0	S	Desulfosporosinus meridiei
1	0	0	0	0	0	0	0	0	0	0	S1	Desulfosporosinus meridiei DSM 13257
2	1	0	0	0	0	3	1	0	4	0	G	Desulfitobacterium
2	1	0	0	0	0	0	1	0	1	0	S	Desulfitobacterium hafniense
0	1	0	0	0	0	0	1	0	0	0	S1	Desulfitobacterium hafniense DCB-2
0	0	0	0	0	0	0	0	0	1	0	S1	Desulfitobacterium hafniense Y51
0	0	0	0	0	0	2	0	0	1	0	S	Desulfitobacterium metallireducens
