ERR2270938	ERR2270939	ERR2270940	ERR2270941	ERR2270960	ERR2270961	ERR2270962	ERR2271042	ERR2271043	ERR2271236	ERR2271237	lvl_type	name	taxonomy
14	2	3	4	5	1	1	2	3	9	7	s	Butyrivibrio fibrisolvens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens
13	0	2	1	1	0	3	2	1	5	9	s	Butyrivibrio hungatei	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio hungatei
9	0	2	3	0	0	0	1	1	6	7	s	Butyrivibrio proteoclasticus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio proteoclasticus
9	0	2	3	0	0	0	1	1	6	7	s1	Butyrivibrio proteoclasticus B316	na;na;na;na;na;na;na
13	4	10	5	0	2	8	3	5	21	6	g	Anaerocolumna	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerocolumna
4	0	4	0	0	0	4	2	2	12	1	s	Anaerocolumna sedimenticola	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna sedimenticola
3	3	2	1	0	2	0	1	2	7	3	s	Anaerocolumna cellulosilytica	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna cellulosilytica
5	1	3	4	0	0	3	0	1	2	1	s	Anaerocolumna chitinilytica	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna chitinilytica
26	1	0	5	4	1	5	6	2	12	13	g	Pseudobutyrivibrio	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Pseudobutyrivibrio
26	1	0	5	4	1	5	6	2	12	13	s	Pseudobutyrivibrio xylanivorans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio xylanivorans
29	3	5	5	0	0	2	2	3	10	4	g	Novisyntrophococcus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Novisyntrophococcus
29	3	5	5	0	0	2	2	3	10	4	s	Novisyntrophococcus fermenticellae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Novisyntrophococcus;s__Novisyntrophococcus fermenticellae
4	0	2	1	5	1	3	3	3	7	2	g	Lachnoanaerobaculum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoanaerobaculum
4	0	2	1	5	1	3	3	3	7	2	s	Lachnoanaerobaculum umeaense	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum umeaense
0	1	2	0	1	0	2	1	3	3	2	g	Anaerotignum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum
0	1	2	0	1	0	2	1	3	3	2	s	Anaerotignum propionicum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum;s__Anaerotignum propionicum
0	1	2	0	1	0	2	1	3	3	2	s1	Anaerotignum propionicum DSM 1682	na;na;na;na;na;na;na
1	0	2	0	1	1	2	2	0	3	1	g	Cellulosilyticum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Cellulosilyticum
0	0	0	0	0	0	0	0	0	2	0	g1	unclassified Cellulosilyticum	na;na;na;na;na;na;na
0	0	0	0	0	0	0	0	0	2	0	s	Cellulosilyticum sp. WCF-2	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Cellulosilyticum;s__Cellulosilyticum sp. WCF-2
0	0	0	0	0	1	0	1	0	0	0	s	Cellulosilyticum lentocellum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Cellulosilyticum;s__Cellulosilyticum lentocellum
0	0	0	0	0	1	0	1	0	0	0	s1	Cellulosilyticum lentocellum DSM 5427	na;na;na;na;na;na;na
5	0	1	1	0	0	0	0	0	0	2	g	Herbinix	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Herbinix
5	0	1	1	0	0	0	0	0	0	2	s	Herbinix luporum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Herbinix;s__Herbinix luporum
4272	2289	223	1356	38	21	859	906	1313	1761	3300	f	Oscillospiraceae	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae
3919	2202	54	640	7	17	653	766	212	1346	2080	g	Faecalibacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium
3852	2165	49	602	7	17	642	751	203	1217	2019	s	Faecalibacterium prausnitzii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
409	1474	23	52	1	14	426	80	20	124	357	s1	Faecalibacterium prausnitzii L2-6	na;na;na;na;na;na;na
302	62	9	60	1	0	23	148	24	161	259	s1	Faecalibacterium prausnitzii SL3/3	na;na;na;na;na;na;na
104	2	3	7	0	1	1	5	804	101	679	g	Ruminococcus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus
79	1	2	1	0	0	0	1	766	46	659	s	Ruminococcus bicirculans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bicirculans
20	0	1	3	0	1	0	0	18	35	8	s	Ruminococcus bovis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus bovis
2	1	0	2	0	0	1	4	7	9	5	s	Ruminococcus champanellensis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus champanellensis
3	0	0	1	0	0	0	0	10	10	5	s	Ruminococcus albus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus;s__Ruminococcus albus
3	0	0	1	0	0	0	0	10	10	5	s1	Ruminococcus albus 7 = DSM 20455	na;na;na;na;na;na;na
106	37	114	87	4	0	152	31	27	48	56	g	Flavonifractor	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor
106	37	114	87	4	0	152	31	27	48	56	s	Flavonifractor plautii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii
19	3	17	361	2	0	2	27	77	38	20	g	Ruthenibacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruthenibacterium
19	3	17	361	2	0	2	27	77	38	20	s	Ruthenibacterium lactatiformans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans
36	12	0	36	1	1	7	33	64	60	263	g	Vescimonas	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas
22	5	0	28	0	1	1	27	43	25	235	s	Vescimonas coprocola	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas coprocola
11	7	0	6	1	0	6	6	19	31	25	s	Vescimonas fastidiosa	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas fastidiosa
13	4	10	154	3	0	8	13	38	32	76	g	Dysosmobacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Dysosmobacter
7	2	7	136	3	0	1	10	27	17	37	s	Dysosmobacter welbionis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter welbionis
5	2	3	18	0	0	7	2	10	15	33	g1	unclassified Dysosmobacter	na;na;na;na;na;na;na
5	2	3	18	0	0	7	2	10	15	33	s	Dysosmobacter sp. Marseille-Q4140	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp. Marseille-Q4140
10	10	4	8	1	0	4	3	9	8	19	g	Pusillibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pusillibacter
10	10	4	8	1	0	4	3	9	8	19	s	Pusillibacter faecalis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pusillibacter;s__Pusillibacter faecalis
11	1	1	7	0	0	4	4	8	11	14	g	Oscillibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter
11	1	1	7	0	0	4	4	8	11	14	g1	unclassified Oscillibacter	na;na;na;na;na;na;na
11	1	1	7	0	0	4	4	8	11	14	s	Oscillibacter sp. NSJ-62	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp. NSJ-62
3	2	1	16	1	0	4	6	2	5	10	g	Anaerotruncus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus
3	2	1	16	1	0	4	6	2	5	10	s	Anaerotruncus colihominis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__Anaerotruncus colihominis
2	2	3	2	0	0	1	1	21	5	9	g	Monoglobus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Monoglobus
2	2	3	2	0	0	1	1	21	5	9	s	Monoglobus pectinilyticus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Monoglobus;s__Monoglobus pectinilyticus
1	0	3	7	0	0	2	1	5	15	7	g	Caproicibacterium	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium
0	0	3	2	0	0	1	1	3	9	5	s	Caproicibacterium amylolyticum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium;s__Caproicibacterium amylolyticum
1	0	0	5	0	0	1	0	2	6	1	s	Caproicibacterium lactatifermentans	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproicibacterium;s__Caproicibacterium lactatifermentans
4	3	0	3	0	0	1	0	1	15	3	g	Acutalibacter	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acutalibacter
4	3	0	3	0	0	1	0	1	15	3	s	Acutalibacter muris	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acutalibacter;s__Acutalibacter muris
2	1	1	5	0	1	1	5	2	6	3	g	Solibaculum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Solibaculum
2	1	1	5	0	1	1	5	2	6	3	s	Solibaculum mannosilyticum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Solibaculum;s__Solibaculum mannosilyticum
2	0	1	0	8	0	3	0	3	1	2	g	Acetivibrio	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio
0	0	0	0	4	0	1	0	1	1	1	s	Acetivibrio thermocellus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrio thermocellus
1	0	0	0	4	0	0	0	1	0	0	s	Acetivibrio saccincola	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrio saccincola
1	0	1	0	0	0	2	0	1	0	1	s	Acetivibrio clariflavus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Acetivibrio;s__Acetivibrio clariflavus
1	0	1	0	0	0	2	0	1	0	1	s1	Acetivibrio clariflavus DSM 19732	na;na;na;na;na;na;na
4	1	0	2	4	0	0	0	0	6	2	g	Mageeibacillus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Mageeibacillus
4	1	0	2	4	0	0	0	0	6	2	s	Mageeibacillus indolicus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Mageeibacillus;s__Mageeibacillus indolicus
4	1	0	2	4	0	0	0	0	6	2	s1	Mageeibacillus indolicus UPII9-5	na;na;na;na;na;na;na
0	1	1	6	1	0	1	0	2	4	2	g	Caproiciproducens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproiciproducens
0	1	1	6	1	0	1	0	2	4	2	g1	unclassified Caproiciproducens	na;na;na;na;na;na;na
0	1	1	6	1	0	1	0	2	4	2	s	Caproiciproducens sp. NJN-50	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Caproiciproducens;s__Caproiciproducens sp. NJN-50
1	0	0	3	0	0	0	1	1	2	5	g	Ethanoligenens	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ethanoligenens
1	0	0	3	0	0	0	1	1	2	5	s	Ethanoligenens harbinense	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ethanoligenens;s__Ethanoligenens harbinense
