#Number of Samples: 11
#Total Number of Reads: 76094283
#S1	../../reports/kraken2/ERR2270938.report
#S2	../../reports/kraken2/ERR2270939.report
#S3	../../reports/kraken2/ERR2270940.report
#S4	../../reports/kraken2/ERR2270941.report
#S5	../../reports/kraken2/ERR2270960.report
#S6	../../reports/kraken2/ERR2270961.report
#S7	../../reports/kraken2/ERR2270962.report
#S8	../../reports/kraken2/ERR2271042.report
#S9	../../reports/kraken2/ERR2271043.report
#S10	../../reports/kraken2/ERR2271236.report
#S11	../../reports/kraken2/ERR2271237.report
#perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	lvl_type	taxid	name
0.1032	78557	78557	52820	52820	1177	1177	1211	1211	2657	2657	133	133	14	14	797	797	2499	2499	2028	2028	3893	3893	11328	11328	S1	657315	                    Roseburia intestinalis M50/1
0.1311	99761	99761	22357	22357	4880	4880	11267	11267	4427	4427	565	565	17	17	3235	3235	9023	9023	7451	7451	8609	8609	27930	27930	S	301301	                  Roseburia hominis
0.0678	51626	0	25509	0	2137	0	913	0	2202	0	75	0	14	0	2033	0	3507	0	1210	0	4398	0	9628	0	G1	2637578	                  unclassified Roseburia
0.0678	51626	51626	25509	25509	2137	2137	913	913	2202	2202	75	75	14	14	2033	2033	3507	3507	1210	1210	4398	4398	9628	9628	S	2763062	                    Roseburia sp. NSJ-69
0.7086	539167	0	149239	0	107661	0	4269	0	46001	0	1346	0	274	0	8412	0	11726	0	4218	0	189571	0	16450	0	G	2569097	                Anaerobutyricum
0.7086	539167	539167	149239	149239	107661	107661	4269	4269	46001	46001	1346	1346	274	274	8412	8412	11726	11726	4218	4218	189571	189571	16450	16450	S	39488	                  Anaerobutyricum hallii
0.4024	306226	10219	49590	2870	25951	559	12939	287	50847	511	1563	21	231	12	17007	388	30023	565	11541	681	61637	1965	44897	2360	G	33042	                Coprococcus
0.1880	143070	143070	21147	21147	8716	8716	5860	5860	37879	37879	662	662	129	129	8917	8917	21003	21003	4499	4499	13860	13860	20398	20398	S	410072	                  Coprococcus comes
0.1096	83390	83390	13327	13327	14937	14937	4276	4276	10649	10649	710	710	31	31	5436	5436	5259	5259	3429	3429	13042	13042	12294	12294	S	116085	                  Coprococcus catus
0.0634	48226	0	6294	0	861	0	1772	0	983	0	44	0	8	0	1781	0	2066	0	1680	0	27165	0	5572	0	G1	2684943	                  unclassified Coprococcus
0.0634	48226	48226	6294	6294	861	861	1772	1772	983	983	44	44	8	8	1781	1781	2066	2066	1680	1680	27165	27165	5572	5572	S	751585	                    Coprococcus sp. ART55/1
0.0280	21321	0	5952	0	878	0	744	0	825	0	126	0	51	0	485	0	1130	0	1252	0	5605	0	4273	0	S	33043	                  Coprococcus eutactus
0.0280	21321	21321	5952	5952	878	878	744	744	825	825	126	126	51	51	485	485	1130	1130	1252	1252	5605	5605	4273	4273	S1	411474	                    Coprococcus eutactus ATCC 27759
0.2792	212456	5232	9310	399	6242	81	62338	2038	5550	96	8120	233	121	2	94265	1222	4480	127	2509	115	7845	465	11676	454	G	2719313	                Enterocloster
0.1486	113088	113088	6428	6428	4338	4338	27059	27059	4613	4613	4704	4704	108	108	48605	48605	3342	3342	1534	1534	5317	5317	7040	7040	S	208479	                  Enterocloster bolteae
0.1237	94136	94136	2483	2483	1823	1823	33241	33241	841	841	3183	3183	11	11	44438	44438	1011	1011	860	860	2063	2063	4182	4182	S	1531	                  Enterocloster clostridioformis
0.2646	201342	1612	23934	300	26855	255	50512	158	11474	85	4686	18	321	1	40468	320	5937	80	8234	78	12137	109	16784	208	G	1506553	                Lachnoclostridium
0.1406	106978	106965	10894	10894	19651	19651	24823	24823	3200	3197	2202	2202	63	63	28261	28261	2702	2695	3608	3607	4737	4736	6837	6836	S	29347	                  [Clostridium] scindens
0.0000	13	13	0	0	0	0	0	0	3	3	0	0	0	0	0	0	7	7	1	1	1	1	1	1	S1	411468	                    [Clostridium] scindens ATCC 35704
0.0431	32815	0	2665	0	2710	0	12903	0	825	0	1306	0	109	0	6605	0	644	0	862	0	2002	0	2184	0	G1	2608895	                  unclassified Lachnoclostridium
0.0431	32815	32815	2665	2665	2710	2710	12903	12903	825	825	1306	1306	109	109	6605	6605	644	644	862	862	2002	2002	2184	2184	S	1834196	                    Lachnoclostridium sp. YL32
0.0424	32264	32264	5871	5871	1292	1292	9347	9347	5484	5484	724	724	12	12	1676	1676	800	800	1836	1836	2319	2319	2903	2903	S	1871021	                  Lachnoclostridium phocaeense
0.0285	21689	19868	3107	2833	2272	2191	2333	2127	1605	1457	329	306	17	13	2838	2427	1309	1258	1506	1427	2500	2320	3873	3509	S	89153	                  [Clostridium] hylemonae
0.0024	1821	1821	274	274	81	81	206	206	148	148	23	23	4	4	411	411	51	51	79	79	180	180	364	364	S1	553973	                    [Clostridium] hylemonae DSM 15053
0.0079	5984	0	1097	0	675	0	948	0	275	0	107	0	119	0	768	0	402	0	344	0	470	0	779	0	S	66219	                  Lachnoclostridium phytofermentans
0.0079	5984	5984	1097	1097	675	675	948	948	275	275	107	107	119	119	768	768	402	402	344	344	470	470	779	779	S1	357809	                    Lachnoclostridium phytofermentans ISDg
0.2233	169929	0	13336	0	10980	0	17269	0	15398	0	1905	0	81	0	14976	0	11131	0	10715	0	28054	0	46084	0	G	189330	                Dorea
0.2233	169929	169929	13336	13336	10980	10980	17269	17269	15398	15398	1905	1905	81	81	14976	14976	11131	11131	10715	10715	28054	28054	46084	46084	S	88431	                  Dorea longicatena
0.2165	164730	0	3541	0	1184	0	145420	0	2441	0	181	0	66	0	2407	0	679	0	806	0	5636	0	2369	0	G	1769710	                Sellimonas
0.2165	164730	164730	3541	3541	1184	1184	145420	145420	2441	2441	181	181	66	66	2407	2407	679	679	806	806	5636	5636	2369	2369	S	1653434	                  Sellimonas intestinalis
0.1407	107072	0	15668	0	1631	0	767	0	1684	0	281	0	178	0	915	0	6245	0	2377	0	7097	0	70229	0	G	28050	                Lachnospira
0.1407	107072	105397	15668	15559	1631	1628	767	612	1684	1667	281	277	178	178	915	915	6245	5653	2377	2357	7097	7026	70229	69525	S	39485	                  Lachnospira eligens
0.0022	1675	1675	109	109	3	3	155	155	17	17	4	4	0	0	0	0	592	592	20	20	71	71	704	704	S1	515620	                    [Eubacterium] eligens ATCC 27750
0.0873	66393	0	7803	0	14949	0	8629	0	2989	0	488	0	142	0	9000	0	2730	0	4587	0	5849	0	9227	0	G	2005359	                Faecalicatena
0.0873	66393	0	7803	0	14949	0	8629	0	2989	0	488	0	142	0	9000	0	2730	0	4587	0	5849	0	9227	0	G1	2635385	                  unclassified Faecalicatena
0.0873	66393	66393	7803	7803	14949	14949	8629	8629	2989	2989	488	488	142	142	9000	9000	2730	2730	4587	4587	5849	5849	9227	9227	S	2823316	                    Faecalicatena sp. Marseille-Q4148
0.0478	36356	4569	4022	275	1251	100	18574	3134	881	53	1562	199	113	3	2057	212	1048	91	1142	57	2902	251	2804	194	G	2719231	                Lacrimispora
0.0226	17173	17037	2364	2359	605	602	7567	7487	437	434	888	873	48	48	951	932	484	482	515	514	1704	1703	1610	1603	S	84030	                  Lacrimispora saccharolytica
0.0002	136	136	5	5	3	3	80	80	3	3	15	15	0	0	19	19	2	2	1	1	1	1	7	7	S1	610130	                    [Clostridium] saccharolyticum WM1
0.0192	14614	0	1383	0	546	0	7873	0	391	0	475	0	62	0	894	0	473	0	570	0	947	0	1000	0	S	29370	                  Lacrimispora sphenoides
0.0192	14614	14614	1383	1383	546	546	7873	7873	391	391	475	475	62	62	894	894	473	473	570	570	947	947	1000	1000	S1	1297793	                    [Clostridium] sphenoides JCM 1415
0.0337	25623	1532	7828	426	1059	68	1032	70	1484	61	653	14	294	3	883	38	1411	124	1634	205	3257	157	6088	366	G	830	                Butyrivibrio
0.0121	9214	9214	2712	2712	410	410	327	327	537	537	85	85	110	110	200	200	512	512	638	638	1354	1354	2329	2329	S	831	                  Butyrivibrio fibrisolvens
0.0108	8189	8189	2616	2616	302	302	384	384	487	487	340	340	62	62	483	483	357	357	359	359	899	899	1900	1900	S	185008	                  Butyrivibrio hungatei
0.0088	6688	0	2074	0	279	0	251	0	399	0	214	0	119	0	162	0	418	0	432	0	847	0	1493	0	S	43305	                  Butyrivibrio proteoclasticus
0.0088	6688	6688	2074	2074	279	279	251	251	399	399	214	214	119	119	162	162	418	418	432	432	847	847	1493	1493	S1	515622	                    Butyrivibrio proteoclasticus B316
0.0237	18054	1027	4322	278	1035	48	1899	105	910	48	523	104	363	0	1527	100	1083	37	1405	30	2137	84	2850	193	G	1843210	                Anaerocolumna
0.0076	5761	5761	1349	1349	365	365	656	656	297	297	198	198	120	120	605	605	367	367	348	348	610	610	846	846	S	2696063	                  Anaerocolumna sedimenticola
0.0075	5722	5722	1408	1408	392	392	654	654	275	275	177	177	122	122	397	397	322	322	430	430	705	705	840	840	S	433286	                  Anaerocolumna cellulosilytica
0.0073	5544	5544	1287	1287	230	230	484	484	290	290	44	44	121	121	425	425	357	357	597	597	738	738	971	971	S	1727145	                  Anaerocolumna chitinilytica
0.0217	16548	0	6098	0	330	0	555	0	1090	0	533	0	90	0	518	0	683	0	513	0	1499	0	4639	0	G	46205	                Pseudobutyrivibrio
0.0217	16548	16548	6098	6098	330	330	555	555	1090	1090	533	533	90	90	518	518	683	683	513	513	1499	1499	4639	4639	S	185007	                  Pseudobutyrivibrio xylanivorans
0.0158	12044	0	3080	0	857	0	1118	0	564	0	133	0	92	0	1162	0	842	0	822	0	1770	0	1604	0	G	2888809	                Novisyntrophococcus
0.0158	12044	12044	3080	3080	857	857	1118	1118	564	564	133	133	92	92	1162	1162	842	842	822	822	1770	1770	1604	1604	S	2068655	                  Novisyntrophococcus fermenticellae
0.0107	8157	0	2418	0	193	0	346	0	398	0	953	0	215	0	300	0	314	0	481	0	947	0	1592	0	G	1164882	                Lachnoanaerobaculum
0.0107	8157	8157	2418	2418	193	193	346	346	398	398	953	953	215	215	300	300	314	314	481	481	947	947	1592	1592	S	617123	                  Lachnoanaerobaculum umeaense
0.0051	3893	2009	733	343	112	51	353	247	169	90	261	185	505	267	395	167	296	116	291	184	323	88	455	271	G	698776	                Cellulosilyticum
0.0013	1025	0	169	0	52	0	53	0	27	0	70	0	129	0	127	0	102	0	47	0	150	0	99	0	G1	2643091	                  unclassified Cellulosilyticum
0.0013	1025	1025	169	169	52	52	53	53	27	27	70	70	129	129	127	127	102	102	47	47	150	150	99	99	S	2497860	                    Cellulosilyticum sp. WCF-2
0.0011	859	0	221	0	9	0	53	0	52	0	6	0	109	0	101	0	78	0	60	0	85	0	85	0	S	29360	                  Cellulosilyticum lentocellum
0.0011	859	859	221	221	9	9	53	53	52	52	6	6	109	109	101	101	78	78	60	60	85	85	85	85	S1	642492	                    Cellulosilyticum lentocellum DSM 5427
0.0039	2970	0	438	0	130	0	173	0	139	0	264	0	142	0	153	0	288	0	291	0	231	0	721	0	G	2039240	                Anaerotignum
0.0039	2970	0	438	0	130	0	173	0	139	0	264	0	142	0	153	0	288	0	291	0	231	0	721	0	S	28446	                  Anaerotignum propionicum
0.0039	2970	2970	438	438	130	130	173	173	139	139	264	264	142	142	153	153	288	288	291	291	231	231	721	721	S1	991789	                    Anaerotignum propionicum DSM 1682
0.0035	2676	0	529	0	118	0	168	0	113	0	145	0	155	0	199	0	240	0	239	0	254	0	516	0	G	1663717	                Herbinix
0.0035	2676	2676	529	529	118	118	168	168	113	113	145	145	155	155	199	199	240	240	239	239	254	254	516	516	S	1679721	                  Herbinix luporum
5.9738	4545757	52660	1087707	7410	651987	2467	72785	2245	323759	3450	7062	315	3890	33	193438	2155	313292	4199	371956	5729	245410	7038	1274471	17619	F	216572	              Oscillospiraceae
4.3246	3290804	104018	1003215	20291	625965	9516	18094	941	149721	6891	1719	58	2077	18	150231	1996	266941	8959	58981	5049	185439	22690	828421	27609	G	216851	                Faecalibacterium
4.1869	3186013	2162979	982851	826282	616400	204213	17149	6692	142738	118391	1658	717	2059	731	148225	51596	257937	199015	53896	44291	162626	131147	800474	579904	S	853	                  Faecalibacterium prausnitzii
1.0137	771357	771357	93306	93306	395785	395785	8005	8005	10301	10301	752	752	1251	1251	91313	91313	24256	24256	4996	4996	15467	15467	125925	125925	S1	718252	                    Faecalibacterium prausnitzii L2-6
0.3307	251677	251677	63263	63263	16402	16402	2452	2452	14046	14046	189	189	77	77	5316	5316	34666	34666	4609	4609	16012	16012	94645	94645	S1	657322	                    Faecalibacterium prausnitzii SL3/3
0.0010	773	773	73	73	49	49	4	4	92	92	3	3	0	0	10	10	45	45	36	36	123	123	338	338	S	411483	                  Faecalibacterium duncaniae
0.6892	524460	2988	25891	207	626	24	760	4	1569	55	221	0	196	0	431	3	1181	18	232001	1186	14929	197	246655	1294	G	1263	                Ruminococcus
0.6458	491440	491440	19700	19700	339	339	228	228	341	341	28	28	13	13	176	176	503	503	223595	223595	7702	7702	238815	238815	S	1160721	                  Ruminococcus bicirculans
0.0234	17805	17805	4423	4423	80	80	250	250	386	386	80	80	172	172	146	146	215	215	4041	4041	4899	4899	3113	3113	S	2564099	                  Ruminococcus bovis
0.0091	6910	6910	779	779	92	92	221	221	516	516	103	103	0	0	77	77	330	330	1602	1602	1465	1465	1725	1725	S	1161942	                  Ruminococcus champanellensis
0.0070	5317	0	782	0	91	0	57	0	271	0	10	0	11	0	29	0	115	0	1577	0	666	0	1708	0	S	1264	                  Ruminococcus albus
0.0070	5317	5317	782	782	91	91	57	57	271	271	10	10	11	11	29	29	115	115	1577	1577	666	666	1708	1708	S1	697329	                    Ruminococcus albus 7 = DSM 20455
0.2216	168607	0	22117	0	10579	0	38231	0	21448	0	827	0	55	0	31802	0	10994	0	7360	0	5187	0	20007	0	G	946234	                Flavonifractor
0.2216	168607	168607	22117	22117	10579	10579	38231	38231	21448	21448	827	827	55	55	31802	31802	10994	10994	7360	7360	5187	5187	20007	20007	S	292800	                  Flavonifractor plautii
0.2164	164674	3438	8369	531	3688	79	907	7	9164	139	276	11	621	4	2297	142	9400	238	18510	556	9329	373	102113	1358	G	2892396	                Vescimonas
0.1652	125715	125715	5150	5150	1203	1203	274	274	7160	7160	62	62	6	6	416	416	7399	7399	12942	12942	3806	3806	87297	87297	S	2714355	                  Vescimonas coprocola
0.0467	35521	35521	2688	2688	2406	2406	626	626	1865	1865	203	203	611	611	1739	1739	1763	1763	5012	5012	5150	5150	13458	13458	S	2714353	                  Vescimonas fastidiosa
0.1911	145379	0	3370	0	1249	0	4857	0	90775	0	357	0	3	0	1066	0	10152	0	20242	0	5562	0	7746	0	G	1905344	                Ruthenibacterium
0.1911	145379	145379	3370	3370	1249	1249	4857	4857	90775	90775	357	357	3	3	1066	1066	10152	10152	20242	20242	5562	5562	7746	7746	S	1550024	                  Ruthenibacterium lactatiformans
0.1166	88694	1978	3359	40	1989	11	2482	13	34693	229	177	1	13	0	849	6	3806	114	10780	259	5165	69	25381	1236	G	2591381	                Dysosmobacter
0.0807	61405	61405	1866	1866	1314	1314	1385	1385	29582	29582	135	135	12	12	271	271	2389	2389	7539	7539	3316	3316	13596	13596	S	2093857	                  Dysosmobacter welbionis
0.0333	25311	0	1453	0	664	0	1084	0	4882	0	41	0	1	0	572	0	1303	0	2982	0	1780	0	10549	0	G1	2644575	                  unclassified Dysosmobacter
0.0333	25311	25311	1453	1453	664	664	1084	1084	4882	4882	41	41	1	1	572	572	1303	1303	2982	2982	1780	1780	10549	10549	S	2830675	                    Dysosmobacter sp. Marseille-Q4140
0.0284	21637	0	3157	0	2121	0	1132	0	1668	0	140	0	2	0	1169	0	1262	0	2609	0	1505	0	6872	0	G	2892397	                Pusillibacter
0.0284	21637	21637	3157	3157	2121	2121	1132	1132	1668	1668	140	140	2	2	1169	1169	1262	1262	2609	2609	1505	1505	6872	6872	S	2714358	                  Pusillibacter faecalis
0.0201	15278	0	1813	0	273	0	348	0	1580	0	51	0	1	0	652	0	907	0	2420	0	1507	0	5726	0	G	459786	                Oscillibacter
0.0201	15278	0	1813	0	273	0	348	0	1580	0	51	0	1	0	652	0	907	0	2420	0	1507	0	5726	0	G1	2629304	                  unclassified Oscillibacter
0.0201	15278	15278	1813	1813	273	273	348	348	1580	1580	51	51	1	1	652	652	907	907	2420	2420	1507	1507	5726	5726	S	2763056	                    Oscillibacter sp. NSJ-62
0.0167	12720	0	1117	0	686	0	421	0	3563	0	77	0	2	0	697	0	1558	0	1067	0	643	0	2889	0	G	244127	                Anaerotruncus
0.0167	12720	12720	1117	1117	686	686	421	421	3563	3563	77	77	2	2	697	697	1558	1558	1067	1067	643	643	2889	2889	S	169435	                  Anaerotruncus colihominis
0.0137	10419	0	1077	0	517	0	716	0	247	0	73	0	41	0	515	0	229	0	3906	0	1163	0	1935	0	G	2039302	                Monoglobus
0.0137	10419	10419	1077	1077	517	517	716	716	247	247	73	73	41	41	515	515	229	229	3906	3906	1163	1163	1935	1935	S	1981510	                  Monoglobus pectinilyticus
0.0111	8434	0	1310	0	782	0	247	0	1050	0	138	0	3	0	347	0	414	0	992	0	1439	0	1712	0	G	1918385	                Acutalibacter
0.0111	8434	8434	1310	1310	782	782	247	247	1050	1050	138	138	3	3	347	347	414	414	992	992	1439	1439	1712	1712	S	1796620	                  Acutalibacter muris
0.0101	7699	330	1068	33	117	1	376	10	1119	53	46	3	37	0	223	4	306	5	1207	80	1820	78	1380	63	G	2834348	                Caproicibacterium
0.0054	4137	4137	676	676	62	62	190	190	585	585	26	26	27	27	86	86	157	157	499	499	1035	1035	794	794	S	2766537	                  Caproicibacterium amylolyticum
0.0042	3232	3232	359	359	54	54	176	176	481	481	17	17	10	10	133	133	144	144	628	628	707	707	523	523	S	2666138	                  Caproicibacterium lactatifermentans
0.0088	6674	0	603	0	318	0	204	0	1074	0	102	0	31	0	337	0	664	0	896	0	992	0	1453	0	G	2842531	                Solibaculum
0.0088	6674	6674	603	603	318	318	204	204	1074	1074	102	102	31	31	337	337	664	664	896	896	992	992	1453	1453	S	2780922	                  Solibaculum mannosilyticum
0.0076	5762	128	880	5	157	0	639	0	232	0	548	77	271	0	318	0	295	4	815	4	595	21	1012	17	G	35829	                Acetivibrio
0.0029	2186	0	279	0	54	0	501	0	82	0	113	0	68	0	192	0	204	0	234	0	160	0	299	0	S	288965	                  Acetivibrio clariflavus
0.0029	2186	2186	279	279	54	54	501	501	82	82	113	113	68	68	192	192	204	204	234	234	160	160	299	299	S1	720554	                    Acetivibrio clariflavus DSM 19732
0.0025	1912	1873	357	339	24	23	86	86	95	93	132	126	81	79	37	37	56	52	336	333	224	223	484	482	S	1515	                  Acetivibrio thermocellus
0.0001	39	39	18	18	1	1	0	0	2	2	6	6	2	2	0	0	4	4	3	3	1	1	2	2	S1	203119	                    Acetivibrio thermocellus ATCC 27405
0.0020	1536	1536	239	239	79	79	52	52	55	55	226	226	122	122	89	89	31	31	241	241	190	190	212	212	S	1677857	                  Acetivibrio saccincola
0.0057	4372	4	697	1	133	0	134	2	163	0	885	0	212	0	97	0	186	0	987	0	342	0	536	1	G	1508657	                Ruminiclostridium
0.0029	2200	2200	229	229	129	129	51	51	79	79	374	374	171	171	51	51	71	71	545	545	173	173	327	327	S	2488810	                  Ruminiclostridium herbifermentans
0.0028	2168	0	467	0	4	0	81	0	84	0	511	0	41	0	46	0	115	0	442	0	169	0	208	0	S	1521	                  Ruminiclostridium cellulolyticum
0.0028	2168	2168	467	467	4	4	81	81	84	84	511	511	41	41	46	46	115	115	442	442	169	169	208	208	S1	394503	                    Ruminiclostridium cellulolyticum H10
0.0044	3317	0	359	0	42	0	185	0	513	0	7	0	1	0	39	0	168	0	707	0	588	0	708	0	G	2576755	                Caproicibacter
0.0044	3317	3317	359	359	42	42	185	185	513	513	7	7	1	1	39	39	168	168	707	707	588	588	708	708	S	2576756	                  Caproicibacter fermentans
0.0043	3282	0	595	0	26	0	152	0	538	0	635	0	5	0	4	0	114	0	284	0	502	0	427	0	G	1637257	                Mageeibacillus
0.0043	3282	0	595	0	26	0	152	0	538	0	635	0	5	0	4	0	114	0	284	0	502	0	427	0	S	884684	                  Mageeibacillus indolicus
